,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,SPACE SONG,BEACH HOUSE,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,320467,0
1,BLANK SPACE,TAYLOR SWIFT,0.753,0.678,5,-5.421,1,0.0644,0.085,1.64e-06,0.13,0.583,96.006,231827,1
2,THE HILLS,THE WEEKND,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,1
3,STYLE,TAYLOR SWIFT,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,231000,1
4,RIPTIDE,VANCE JOY,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,1
5,SHAKE IT OFF,TAYLOR SWIFT,0.647,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.015,219200,1
6,COUNTING STARS,ONEREPUBLIC,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,257840,1
7,MELTING,KALI UCHIS,0.574,0.479,8,-7.776,1,0.0355,0.179,0.0803,0.106,0.303,115.263,208854,0
8,DADDY ISSUES,THE NEIGHBOURHOOD,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,0
9,TAKE ME TO CHURCH,HOZIER,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241693,1
10,WAIT A MINUTE!,WILLOW,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,0
11,MAPS,MAROON 5,0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120.032,189960,1
12,CAN'T FEEL MY FACE,THE WEEKND,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,1
13,BITCH BETTER HAVE MY MONEY,RIHANNA,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,219306,0
14,WEST COAST,LANA DEL REY,0.527,0.591,6,-7.664,0,0.0396,0.194,0.0194,0.0907,0.461,123.167,256760,0
15,WILDEST DREAMS,TAYLOR SWIFT,0.554,0.666,8,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056,220440,1
16,ELECTRIC LOVE,BØRNS,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,0
17,SHUT UP AND DANCE,WALK THE MOON,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,1
18,TIME OF OUR LIVES,PITBULL,0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022,229360,1
19,OFTEN,THE WEEKND,0.572,0.631,7,-9.836,0,0.0476,0.222,0.0,0.135,0.0713,134.078,249040,0
20,NIGHT CHANGES,ONE DIRECTION,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600,1
21,STAY WITH ME,SAM SMITH,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724,1
22,THE NIGHTS,AVICII,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,176658,0
23,I'M NOT THE ONLY ONE,SAM SMITH,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,239317,1
24,BROOKLYN BABY,LANA DEL REY,0.404,0.664,1,-6.698,1,0.0407,0.542,0.00402,0.11,0.0949,107.747,351640,0
25,STRESSED OUT,TWENTY ONE PILOTS,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,1
26,OR NAH,TY DOLLA $IGN,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97,242983,0
27,NEW ROMANTICS,TAYLOR SWIFT,0.633,0.889,5,-5.87,1,0.0715,0.00463,0.000458,0.0658,0.584,121.956,230467,0
28,LOVE IN THE DARK,ADELE,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,285935,0
29,BAD BLOOD,TAYLOR SWIFT,0.65,0.802,7,-6.114,1,0.181,0.0871,6.54e-06,0.148,0.295,170.146,211933,1
30,EARNED IT (FIFTY SHADES OF GREY),THE WEEKND,0.659,0.291,2,-8.275,0,0.0348,0.405,0.0,0.0771,0.406,119.829,277680,1
31,CENTURIES,FALL OUT BOY,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,228360,1
32,STITCHES,SHAWN MENDES,0.752,0.754,1,-6.684,1,0.0615,0.0151,0.0,0.0486,0.755,149.789,206880,1
33,ONE LAST TIME,ARIANA GRANDE,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,1
34,BEST DAY OF MY LIFE,AMERICAN AUTHORS,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240,1
35,SUGAR,MAROON 5,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,235493,1
36,WHEN WE WERE YOUNG,ADELE,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,290900,1
37,LOVE YOURSELF,JUSTIN BIEBER,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,233720,1
38,RIDE,TWENTY ONE PILOTS,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,214507,0
39,ONLY,NICKI MINAJ,0.573,0.495,8,-7.245,0,0.592,0.405,0.0,0.0969,0.255,179.196,312027,0
40,HABITS (STAY HIGH),TOVE LO,0.729,0.65,5,-3.539,1,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,209160,1
41,OUI,JEREMIH,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,238320,0
42,FOURTH OF JULY,SUFJAN STEVENS,0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,279316,0
43,COLLARD GREENS,SCHOOLBOY Q,0.825,0.575,11,-4.87,1,0.0633,0.025,9.94e-06,0.205,0.65,153.954,299960,0
44,"HAPPY - FROM ""DESPICABLE ME 2""",PHARRELL WILLIAMS,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019,232720,0
45,PACIFY HER,MELANIE MARTINEZ,0.576,0.593,9,-6.024,0,0.0306,0.0467,0.000767,0.237,0.373,157.993,220013,0
46,RUNAWAY,AURORA,0.459,0.276,11,-10.339,1,0.036,0.63,9.5e-05,0.104,0.128,114.169,248827,0
47,DEVIL TOWN,CAVETOWN,0.576,0.759,3,-8.165,1,0.0599,0.12,0.0,0.121,0.501,99.969,179955,0
48,SHE LOOKS SO PERFECT,5 SECONDS OF SUMMER,0.494,0.951,9,-4.237,1,0.132,0.000569,0.0,0.327,0.441,160.025,202496,1
49,COLLIDE,JUSTINE SKYE,0.418,0.31,11,-9.869,0,0.0625,0.095,0.0,0.216,0.131,139.614,260170,0
50,BANG BANG,JESSIE J,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,199387,1
51,MY HOUSE,FLO RIDA,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191,1
52,TROPHIES,YOUNG MONEY,0.746,0.687,1,-7.475,1,0.382,0.155,0.0,0.137,0.283,143.931,188320,0
53,SORRY,JUSTIN BIEBER,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787,1
54,LOVE ME HARDER,ARIANA GRANDE,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,236133,1
55,SUMMER,CALVIN HARRIS,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,222533,1
56,TRAP QUEEN,FETTY WAP,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,222093,1
57,FOURFIVESECONDS,RIHANNA,0.582,0.272,2,-5.662,1,0.0501,0.875,0.0,0.13,0.354,205.846,188238,1
58,LEAN ON,MAJOR LAZER,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,1
59,ACQUAINTED,THE WEEKND,0.372,0.478,7,-9.835,0,0.0503,0.482,0.0,0.0844,0.254,101.102,348853,0
60,A SKY FULL OF STARS,COLDPLAY,0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,267867,1
61,STOLEN DANCE,MILKY CHANCE,0.879,0.565,11,-8.809,1,0.037,0.412,0.000239,0.0798,0.685,114.009,313627,1
62,ANIMALS,MAROON 5,0.279,0.742,4,-6.46,0,0.0898,0.000185,0.0,0.593,0.328,189.868,231013,1
63,BUDAPEST,GEORGE EZRA,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.812,200733,1
64,ME AND MY BROKEN HEART,RIXTON,0.545,0.783,5,-4.261,0,0.0345,0.00489,0.0,0.132,0.551,174.084,193733,1
65,LIKE I'M GONNA LOSE YOU,MEGHAN TRAINOR,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,225053,1
66,I DON'T FUCK WITH YOU,BIG SEAN,0.824,0.733,1,-5.474,1,0.0613,0.0362,0.0,0.325,0.395,97.972,284387,0
67,JUNGLE,DRAKE,0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,320400,0
68,THINKING OUT LOUD,ED SHEERAN,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,1
69,SCARS TO YOUR BEAUTIFUL,ALESSIA CARA,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,230240,0
70,"SOLDIER, POET, KING",THE OH HELLOS,0.347,0.758,8,-7.753,1,0.0706,0.031,0.000659,0.109,0.484,117.959,165674,0
71,I KNOW,BIG SEAN,0.733,0.334,1,-11.314,1,0.0811,0.327,0.0,0.116,0.267,119.935,319973,0
72,PLAY DATE,MELANIE MARTINEZ,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,179867,0
73,CHANDELIER,SIA,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120,1
74,SHE KNOWS,NE-YO,0.706,0.572,8,-5.799,0,0.0326,0.0262,0.0,0.585,0.574,139.982,214726,1
75,HOUSE PARTY,SAM HUNT,0.747,0.861,8,-5.251,1,0.0514,0.113,0.0,0.026,0.859,103.966,190240,0
76,WAITING FOR LOVE,AVICII,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,230613,0
77,SEND MY LOVE (TO YOUR NEW LOVER),ADELE,0.688,0.533,6,-8.363,0,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,223079,0
78,RUDE,MAGIC!,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,224840,1
79,BREAK FREE,ARIANA GRANDE,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,214840,1
80,SHOWER,BECKY G,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167,1
81,OUT OF THE WOODS,TAYLOR SWIFT,0.552,0.842,7,-6.938,1,0.0373,0.00103,1.17e-05,0.337,0.343,91.991,235800,0
82,LET IT GO,JAMES BAY,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464,260533,0
83,IN THE NIGHT,THE WEEKND,0.505,0.68,7,-4.993,1,0.0714,0.0796,0.0,0.0465,0.539,168.022,235653,1
