,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,DIE FOR YOU,THE WEEKND,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,260253,0
1,SPACE SONG,BEACH HOUSE,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,320467,0
2,STARBOY,THE WEEKND,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453,1
3,THE HILLS,THE WEEKND,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,1
4,DIE FOR YOU,THE WEEKND,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,260253,0
5,NEEDED ME,RIHANNA,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,191600,1
6,STARGIRL INTERLUDE,THE WEEKND,0.715,0.47,5,-12.638,0,0.0772,0.353,0.0923,0.104,0.426,89.965,111627,0
7,LOVE ON THE BRAIN,RIHANNA,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,224000,1
8,REMINDER,THE WEEKND,0.706,0.505,8,-6.923,1,0.193,0.142,0.0,0.164,0.388,160.053,218880,0
9,ONE DANCE,DRAKE,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,1
10,THAT'S WHAT I LIKE,BRUNO MARS,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,206693,0
11,MELTING,KALI UCHIS,0.574,0.479,8,-7.776,1,0.0355,0.179,0.0803,0.106,0.303,115.263,208854,0
12,PARTY MONSTER,THE WEEKND,0.573,0.63,1,-8.389,1,0.105,0.189,2.31e-05,0.259,0.218,77.525,249213,0
13,DADDY ISSUES,THE NEIGHBOURHOOD,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,0
14,SAY YOU WON'T LET GO,JAMES ARTHUR,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,211467,0
15,OPHELIA,THE LUMINEERS,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097,0
16,WAIT A MINUTE!,WILLOW,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,0
17,CAN'T FEEL MY FACE,THE WEEKND,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949,213520,1
18,BITCH BETTER HAVE MY MONEY,RIHANNA,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,219306,0
19,CONGRATULATIONS,POST MALONE,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,220293,0
20,UNSTOPPABLE,SIA,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,217747,0
21,ELECTRIC LOVE,BØRNS,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,0
22,OFTEN,THE WEEKND,0.572,0.631,7,-9.836,0,0.0476,0.222,0.0,0.135,0.0713,134.078,249040,0
23,I FALL APART,POST MALONE,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347,0
24,CLOSER,THE CHAINSMOKERS,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,1
25,STRESSED OUT,TWENTY ONE PILOTS,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,1
26,LOVE IN THE DARK,ADELE,0.331,0.341,9,-6.057,0,0.0309,0.528,0.0,0.109,0.152,109.821,285935,0
27,EARNED IT (FIFTY SHADES OF GREY),THE WEEKND,0.659,0.291,2,-8.275,0,0.0348,0.405,0.0,0.0771,0.406,119.829,277680,1
28,CENTURIES,FALL OUT BOY,0.393,0.858,4,-2.868,0,0.0729,0.00359,0.0,0.102,0.56,176.042,228360,1
29,STARGIRL INTERLUDE,THE WEEKND,0.638,0.474,5,-12.7,0,0.124,0.351,0.191,0.105,0.441,179.771,111640,0
30,STITCHES,SHAWN MENDES,0.752,0.754,1,-6.684,1,0.0615,0.0151,0.0,0.0486,0.755,149.789,206880,1
31,"CAN'T STOP THE FEELING! (FROM DREAMWORKS ANIMATION'S ""TROLLS"")",JUSTIN TIMBERLAKE,0.669,0.832,0,-5.721,1,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547,0
32,HOUSE OF MEMORIES,PANIC! AT THE DISCO,0.506,0.817,11,-5.051,0,0.0335,0.00272,0.0,0.0486,0.506,109.952,208707,0
33,WORK,RIHANNA,0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974,219320,1
34,WOO,RIHANNA,0.42,0.466,9,-5.298,1,0.0326,0.0546,0.00389,0.298,0.185,115.004,235587,0
35,ATLANTIS,SEAFRET,0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,229173,0
36,WHEN WE WERE YOUNG,ADELE,0.376,0.595,3,-5.936,1,0.0496,0.303,0.0,0.095,0.265,144.361,290900,1
37,GO FLEX,POST MALONE,0.665,0.498,5,-8.185,1,0.0832,0.228,0.0,0.0757,0.127,81.967,179613,0
38,WHITE IVERSON,POST MALONE,0.675,0.562,7,-7.678,1,0.0352,0.233,0.0,0.0816,0.309,130.098,256533,1
39,LOVE YOURSELF,JUSTIN BIEBER,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,233720,1
40,THIS IS WHAT YOU CAME FOR,CALVIN HARRIS,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,222160,1
41,CAKE BY THE OCEAN,DNCE,0.774,0.753,4,-5.446,0,0.0517,0.152,0.0,0.0371,0.896,119.002,219147,1
42,RIDE,TWENTY ONE PILOTS,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,214507,1
43,24K MAGIC,BRUNO MARS,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,225983,1
44,OUI,JEREMIH,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,238320,1
45,I FEEL IT COMING,THE WEEKND,0.773,0.819,0,-5.946,0,0.118,0.428,0.0,0.0679,0.585,92.987,269187,1
46,FOURTH OF JULY,SUFJAN STEVENS,0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,279316,0
47,INTO YOU,ARIANA GRANDE,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,244453,1
48,PACIFY HER,MELANIE MARTINEZ,0.576,0.593,9,-6.024,0,0.0306,0.0467,0.000767,0.237,0.373,157.993,220013,0
49,FEEL NO WAYS,DRAKE,0.582,0.677,7,-7.081,1,0.172,0.0312,6.6e-06,0.122,0.205,193.818,240653,0
50,DEVIL TOWN,CAVETOWN,0.576,0.759,3,-8.165,1,0.0599,0.12,0.0,0.121,0.501,99.969,179955,0
51,MY HOUSE,FLO RIDA,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,192191,1
52,7 YEARS,LUKAS GRAHAM,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,237300,1
53,SORRY,JUSTIN BIEBER,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787,1
54,TRAP QUEEN,FETTY WAP,0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,222093,1
55,FOURFIVESECONDS,RIHANNA,0.582,0.272,2,-5.662,1,0.0501,0.875,0.0,0.13,0.354,205.846,188238,1
56,LEAN ON,MAJOR LAZER,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,1
57,ACQUAINTED,THE WEEKND,0.372,0.478,7,-9.835,0,0.0503,0.482,0.0,0.0844,0.254,101.102,348853,0
58,HEATHENS,TWENTY ONE PILOTS,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,195920,1
59,MR LOVERMAN,RICKY MONTGOMERY,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033,216880,0
60,CLEOPATRA,THE LUMINEERS,0.536,0.775,8,-6.765,1,0.0394,0.228,0.000143,0.0947,0.485,151.393,201413,0
61,LIKE I'M GONNA LOSE YOU,MEGHAN TRAINOR,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,225053,1
62,I DON'T FUCK WITH YOU,BIG SEAN,0.824,0.733,1,-5.474,1,0.0613,0.0362,0.0,0.325,0.395,97.972,284387,0
63,I TOOK A PILL IN IBIZA - SEEB REMIX,MIKE POSNER,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,197933,0
64,JUNGLE,DRAKE,0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,320400,0
