,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,CRUEL SUMMER,TAYLOR SWIFT,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,0
1,ALL OF THE GIRLS YOU LOVED BEFORE,TAYLOR SWIFT,0.718,0.467,2,-9.66,1,0.0398,0.707,6.92e-05,0.126,0.396,95.96,221407,0
2,CARDIGAN,TAYLOR SWIFT,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,239560,1
3,BLINDING LIGHTS,THE WEEKND,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040,1
4,LOVER,TAYLOR SWIFT,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,1
5,HEAT WAVES,GLASS ANIMALS,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,238805,0
6,HEADING SOUTH,ZACH BRYAN,0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,171693,0
7,THE MAN,TAYLOR SWIFT,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,190360,1
8,HEARTLESS,DIPLO,0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,169227,0
9,HEARTLESS,THE WEEKND,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,198267,1
10,CIRCLES,POST MALONE,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,1
11,TELEPATÍA,KALI UCHIS,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,160191,0
12,YKWIM?,YOT CLUB,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,212750,0
13,AUGUST,TAYLOR SWIFT,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923,0
14,SOMEONE YOU LOVED,LEWIS CAPALDI,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,1
15,SAVE YOUR TEARS,THE WEEKND,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627,1
16,JEALOUS,EYEDRESS,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,122339,0
17,WATERMELON SUGAR,HARRY STYLES,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,1
18,PAPER RINGS,TAYLOR SWIFT,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400,0
19,HEATHER,CONAN GRAY,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,1
20,MISS AMERICANA & THE HEARTBREAK PRINCE,TAYLOR SWIFT,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,234147,0
21,CRY,CIGARETTES AFTER SEX,0.409,0.399,7,-10.456,1,0.0275,0.763,0.654,0.112,0.161,142.823,256800,0
22,STREETS,DOJA CAT,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,226987,0
23,ADORE YOU,HARRY STYLES,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,1
24,BALLIN',MUSTARD,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,0
25,YOU NEED TO CALM DOWN,TAYLOR SWIFT,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,1
26,GOOD DAYS,SZA,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,0
27,BEFORE YOU GO,LEWIS CAPALDI,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,215107,1
28,LEVITATING,DUA LIPA,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,203064,1
29,AFTER HOURS,THE WEEKND,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,361027,0
30,WOW.,POST MALONE,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149547,1
31,THE ARCHER,TAYLOR SWIFT,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,211240,0
32,WHEN THE PARTY'S OVER,BILLIE EILISH,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,1
33,EVERYTHING I WANTED,BILLIE EILISH,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,1
34,MOUNT EVEREST,LABRINTH,0.494,0.428,0,-7.239,0,0.205,0.236,0.0698,0.0816,0.44,87.724,157497,0
35,7 RINGS,ARIANA GRANDE,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,1
36,CHICAGO FREESTYLE,DRAKE,0.735,0.449,10,-7.507,1,0.347,0.629,0.0,0.113,0.0397,122.947,220488,0
37,SUNFLOWER - SPIDER-MAN: INTO THE SPIDER-VERSE,POST MALONE,0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,89.96,157560,0
38,DOIN' TIME,LANA DEL REY,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982,202193,0
39,FORMULA,LABRINTH,0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,91870,0
40,TRUST ISSUES,DRAKE,0.421,0.539,11,-5.456,0,0.274,0.779,0.0,0.111,0.523,89.177,281519,0
41,MRS MAGIC,STRAWBERRY GUY,0.471,0.634,8,-7.406,1,0.031,0.159,0.365,0.374,0.366,132.542,208500,0
42,SOFIA,CLAIRO,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,188387,0
43,SHINUNOGA E-WA,FUJII KAZE,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,185573,0
44,THIS DAMN SONG,PECOS & THE ROOFTOPS,0.646,0.472,0,-6.743,1,0.0323,0.193,0.0,0.269,0.166,120.187,280000,0
45,LOSE YOU TO LOVE ME,SELENA GOMEZ,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,206459,1
