,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,SWEATER WEATHER,THE NEIGHBOURHOOD,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,1
1,WHEN I WAS YOUR MAN,BRUNO MARS,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,1
2,LOVE ME,LIL WAYNE,0.669,0.634,11,-6.476,1,0.0327,0.0125,0.0,0.0946,0.496,124.906,255053,0
3,LOCKED OUT OF HEAVEN,BRUNO MARS,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,1
4,CLASSIC,MKTO,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071,175427,0
5,WAKE ME UP,AVICII,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,0
6,KING FOR A DAY,PIERCE THE VEIL,0.403,0.965,6,-2.238,1,0.0964,3.81e-05,0.000276,0.341,0.431,112.363,236293,0
7,EVERYBODY TALKS,NEON TREES,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,1
8,DEMONS,IMAGINE DRAGONS,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,175200,1
9,YOUNG AND BEAUTIFUL,LANA DEL REY,0.324,0.416,11,-8.92,0,0.0368,0.262,3.69e-05,0.11,0.151,113.986,236053,0
10,STILL INTO YOU,PARAMORE,0.602,0.923,5,-3.763,1,0.044,0.0098,0.0,0.0561,0.765,136.01,216013,1
11,RIBS,LORDE,0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,258969,0
12,TIMBER,PITBULL,0.581,0.963,11,-4.087,1,0.0981,0.0295,0.0,0.139,0.788,129.992,204160,1
13,ALWAYS FOREVER,CULTS,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,223747,0
14,WHAT MAKES YOU BEAUTIFUL,ONE DIRECTION,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,199987,1
15,CALL ME MAYBE,CARLY RAE JEPSEN,0.783,0.58,7,-6.548,1,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,1
16,HO HEY,THE LUMINEERS,0.685,0.466,0,-9.074,1,0.0304,0.794,2.06e-06,0.0915,0.353,79.936,163133,1
17,LOVEEEEEEE SONG,RIHANNA,0.71,0.598,5,-7.598,0,0.0319,0.508,0.0,0.0971,0.501,119.981,256320,0
18,POMPEII,BASTILLE,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435,214148,1
19,POUR IT UP,RIHANNA,0.785,0.478,2,-8.735,1,0.0419,0.0254,0.0,0.0901,0.39,134.002,161200,0
20,ALL OF ME,JOHN LEGEND,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560,0
