,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,MONEY TREES,KENDRICK LAMAR,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994,386907,0
1,BOUND 2,KANYE WEST,0.367,0.665,1,-2.821,1,0.0465,0.145,0.0,0.113,0.31,148.913,229147,1
2,BREAK FROM TORONTO,PARTYNEXTDOOR,0.595,0.678,9,-5.18,1,0.0335,0.0199,0.00389,0.418,0.259,117.067,99213,0
3,LOVE ME,LIL WAYNE,0.669,0.634,11,-6.476,1,0.0327,0.0125,0.0,0.0946,0.496,124.906,255053,1
4,LOVE SOSA,CHIEF KEEF,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965,246213,1
5,3005,CHILDISH GAMBINO,0.664,0.447,6,-7.272,0,0.289,0.112,0.0,0.091,0.659,83.138,234215,0
6,POWER TRIP,J. COLE,0.667,0.608,1,-7.054,1,0.216,0.324,0.000198,0.426,0.475,99.992,241160,1
7,DREAMS AND NIGHTMARES,MEEK MILL,0.631,0.774,11,-2.459,1,0.3,0.468,0.0,0.281,0.44,79.745,230693,0
8,SWIMMING POOLS (DRANK),KENDRICK LAMAR,0.577,0.447,8,-5.892,1,0.277,0.00627,0.00022,0.0899,0.189,74.236,247800,1
9,POETIC JUSTICE,KENDRICK LAMAR,0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956,300160,1
10,"HOLD ON, WE'RE GOING HOME",DRAKE,0.777,0.414,6,-7.44,0,0.0946,0.00421,2.73e-05,0.0724,0.287,100.002,227880,0
11,"BITCH, DON’T KILL MY VIBE",KENDRICK LAMAR,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,0
12,BEWARE,BIG SEAN,0.7,0.554,1,-5.909,1,0.187,0.219,1.36e-06,0.419,0.0633,97.127,235187,1
13,SHE KNOWS,J. COLE,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520,1
14,CAN'T HOLD US,MACKLEMORE & RYAN LEWIS,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,258343,0
15,SWIMMING POOLS (DRANK) - EXTENDED VERSION,KENDRICK LAMAR,0.716,0.485,1,-7.745,1,0.404,0.123,2.69e-05,0.604,0.26,74.132,313787,0
16,F**KIN' PROBLEMS,A$AP ROCKY,0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967,233787,0
17,IFHY,"TYLER, THE CREATOR",0.358,0.715,7,-6.181,1,0.331,0.197,0.0,0.581,0.275,85.478,319253,0
