,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,SEE YOU AGAIN,"TYLER, THE CREATOR",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,0
1,FREESTYLE,LIL BABY,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,162053,0
2,20 MIN,LIL UZI VERT,0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,220587,0
3,REVENGE,XXXTENTACION,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,0
4,PRIDE.,KENDRICK LAMAR,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,275253,1
5,FATHER STRETCH MY HANDS PT. 1,KANYE WEST,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,135920,0
6,LOVE. FEAT. ZACARI.,KENDRICK LAMAR,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,213400,0
7,HUMBLE.,KENDRICK LAMAR,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,1
8,PASSIONFRUIT,DRAKE,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,0
9,RIC FLAIR DRIP,OFFSET,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,1
10,MY SHIT,A BOOGIE WIT DA HOODIE,0.812,0.621,5,-8.3,1,0.0515,0.244,0.0,0.099,0.847,77.998,128157,0
11,REDBONE,CHILDISH GAMBINO,0.745,0.353,1,-10.614,1,0.0983,0.174,0.00662,0.118,0.598,160.111,326933,0
12,XO TOUR LLIF3,LIL UZI VERT,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,1
13,ME AND YOUR MAMA,CHILDISH GAMBINO,0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073,379227,0
14,ONE DANCE,DRAKE,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,0
15,DROWNING,A BOOGIE WIT DA HOODIE,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014,209269,1
16,THE WAY LIFE GOES,LIL UZI VERT,0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008,221747,1
17,TEENAGE FEVER,DRAKE,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,219692,0
18,BROKEN CLOCKS,SZA,0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,231253,0
19,ANTARCTICA,$UICIDEBOY$,0.715,0.633,2,-6.869,1,0.0804,0.553,4.45e-06,0.0905,0.319,105.945,126850,0
20,GOOSEBUMPS,TRAVIS SCOTT,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,1
21,CONGRATULATIONS,POST MALONE,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,220293,1
22,LOVE IS ONLY A FEELING,JOEY BADA$$,0.629,0.676,1,-7.088,0,0.191,0.53,0.000325,0.701,0.497,90.377,152041,0
23,DNA.,KENDRICK LAMAR,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,185947,1
24,I FALL APART,POST MALONE,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347,1
25,STILL THINK ABOUT YOU,A BOOGIE WIT DA HOODIE,0.946,0.646,5,-6.604,1,0.21,0.219,0.0,0.0643,0.961,127.978,246988,0
26,JOCELYN FLORES,XXXTENTACION,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,1
27,FUCK LOVE,XXXTENTACION,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,0
