,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
920,6LOCC 6A6Y,LIL LOADED,0.841,0.765,5,-6.909,1,0.248,0.287,0.0,0.122,0.803,125.093,177570,0
921,NO SL33P,PLAYBOI CARTI,0.719,0.852,0,-5.232,1,0.149,0.024,0.0,0.123,0.432,151.867,88547,0
922,SHOW ME UP,LIL TECCA,0.674,0.453,6,-10.293,0,0.0612,0.155,1.21e-06,0.0933,0.22,128.107,166875,0
923,MOODS,SCOREY,0.846,0.515,11,-10.202,0,0.309,0.0708,0.0,0.112,0.354,89.994,138792,0
924,NIKES,NIMSTARR,0.976,0.375,1,-11.361,1,0.104,0.479,0.0,0.0523,0.976,123.022,139911,0
925,HOW YOU FEEL? (FREESTYLE),DJ SCHEME,0.949,0.444,5,-7.301,1,0.212,0.0267,0.0,0.106,0.607,124.936,136640,0
926,WHY HE TOLD,KING VON,0.831,0.683,10,-7.696,0,0.251,0.0619,0.0,0.0767,0.317,145.963,188160,0
927,CONTROL,PLAYBOI CARTI,0.705,0.752,7,-6.87,1,0.095,0.0283,0.0,0.299,0.305,142.051,197790,0
928,STL CAPS & JAY HATS,BABY STONE GORILLAS,0.896,0.552,9,-11.127,0,0.447,0.429,0.0,0.0565,0.883,104.911,128148,0
929,JETSKI,INTERNET MONEY,0.883,0.446,8,-8.723,0,0.296,0.0253,0.0,0.103,0.463,92.95,165161,0
930,LOST KIDS GET MONEY,BRENT FAIYAZ,0.733,0.613,7,-6.366,0,0.0562,0.086,0.00122,0.0919,0.577,150.514,178489,0
931,BLURRY NIGHTS,BOYWITHUKE,0.833,0.299,8,-12.626,1,0.0467,0.86,0.0128,0.118,0.503,84.991,203314,0
932,1985,FREDDIE GIBBS,0.528,0.595,0,-10.35,0,0.281,0.337,0.0,0.389,0.36,130.396,152547,0
933,SNITCHES & RATS,21 SAVAGE,0.821,0.671,9,-5.893,1,0.18,0.00843,8.5e-05,0.0972,0.494,145.953,187773,0
