,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,STAR SHOPPING,LIL PEEP,0.538,0.471,4,-9.84,0,0.0955,0.0946,0.0185,0.116,0.307,93.07,142000,0
1,FATHER STRETCH MY HANDS PT. 1,KANYE WEST,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088,135920,0
2,DON'T,BRYSON TILLER,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,198293,0
3,MY SHIT,A BOOGIE WIT DA HOODIE,0.812,0.621,5,-8.3,1,0.0515,0.244,0.0,0.099,0.847,77.998,128157,0
4,REDBONE,CHILDISH GAMBINO,0.745,0.353,1,-10.614,1,0.0983,0.174,0.00662,0.118,0.598,160.111,326933,0
5,ME AND YOUR MAMA,CHILDISH GAMBINO,0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073,379227,0
6,ONE DANCE,DRAKE,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,0
7,ALRIGHT,KENDRICK LAMAR,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,219333,1
8,ANTARCTICA,$UICIDEBOY$,0.715,0.633,2,-6.869,1,0.0804,0.553,4.45e-06,0.0905,0.319,105.945,126850,0
9,GOOSEBUMPS,TRAVIS SCOTT,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,1
10,CONGRATULATIONS,POST MALONE,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,220293,0
11,I FALL APART,POST MALONE,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347,0
12,STILL THINK ABOUT YOU,A BOOGIE WIT DA HOODIE,0.946,0.646,5,-6.604,1,0.21,0.219,0.0,0.0643,0.961,127.978,246988,0
13,KILL YOURSELF (PART III),$UICIDEBOY$,0.753,0.68,5,-7.092,0,0.0349,0.326,4.15e-05,0.423,0.192,105.977,145078,0
14,WEEKEND,MAC MILLER,0.843,0.435,8,-8.442,1,0.178,0.47,0.0,0.147,0.19,120.058,208080,0
15,NO FLOCKIN',KODAK BLACK,0.943,0.595,5,-8.372,0,0.191,0.0673,0.0,0.0839,0.815,117.532,165291,0
16,90210,TRAVIS SCOTT,0.402,0.526,9,-6.741,0,0.0904,0.113,8.33e-06,0.105,0.312,81.404,339067,0
17,EXCHANGE,BRYSON TILLER,0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,194613,0
18,POISON,BRENT FAIYAZ,0.689,0.394,2,-10.102,0,0.065,0.711,0.000905,0.0859,0.382,117.489,212992,0
19,WHITE TEE,LIL PEEP,0.8,0.526,11,-8.909,1,0.0416,0.285,0.0,0.0717,0.729,149.991,132227,0
20,PARIS,$UICIDEBOY$,0.849,0.648,7,-6.188,1,0.0835,0.0706,0.00636,0.0984,0.195,106.058,111020,0
21,MONEY LONGER,LIL UZI VERT,0.795,0.568,5,-7.817,0,0.142,0.0541,0.0,0.108,0.478,136.173,198944,1
