,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,NO ROLE MODELZ,J. COLE,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799,1
1,BOUND 2,KANYE WEST,0.367,0.665,1,-2.821,1,0.0465,0.145,0.0,0.113,0.31,148.913,229147,1
2,BREAK FROM TORONTO,PARTYNEXTDOOR,0.595,0.678,9,-5.18,1,0.0335,0.0199,0.00389,0.418,0.259,117.067,99213,0
3,WET DREAMZ,J. COLE,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267,1
4,LOVE ME,LIL WAYNE,0.669,0.634,11,-6.476,1,0.0327,0.0125,0.0,0.0946,0.496,124.906,255053,1
5,3005,CHILDISH GAMBINO,0.664,0.447,6,-7.272,0,0.289,0.112,0.0,0.091,0.659,83.138,234215,0
6,POWER TRIP,J. COLE,0.667,0.608,1,-7.054,1,0.216,0.324,0.000198,0.426,0.475,99.992,241160,1
7,HER WAY,PARTYNEXTDOOR,0.542,0.487,1,-9.53,1,0.0286,0.0544,0.000885,0.0872,0.119,111.307,216631,0
8,COLLARD GREENS,SCHOOLBOY Q,0.825,0.575,11,-4.87,1,0.0633,0.025,9.94e-06,0.205,0.65,153.954,299960,1
9,OR NAH,TY DOLLA $IGN,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97,242983,0
10,TROPHIES,YOUNG MONEY,0.746,0.687,1,-7.475,1,0.382,0.155,0.0,0.137,0.283,143.931,188320,1
11,LOVE YOURZ,J. COLE,0.677,0.638,8,-8.631,1,0.333,0.589,0.0,0.193,0.435,82.81,211497,0
12,"HOLD ON, WE'RE GOING HOME",DRAKE,0.777,0.414,6,-7.44,0,0.0946,0.00421,2.73e-05,0.0724,0.287,100.002,227880,0
13,BELONG TO THE CITY,PARTYNEXTDOOR,0.582,0.482,5,-9.813,0,0.0479,0.709,0.00138,0.129,0.193,88.198,98024,0
14,BEWARE,BIG SEAN,0.7,0.554,1,-5.909,1,0.187,0.219,1.36e-06,0.419,0.0633,97.127,235187,1
15,SHE KNOWS,J. COLE,0.766,0.74,1,-10.363,1,0.0807,0.0193,0.0784,0.229,0.183,118.008,296520,1
16,F**KIN' PROBLEMS,A$AP ROCKY,0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967,233787,0
17,ONLY,NICKI MINAJ,0.573,0.495,8,-7.245,0,0.592,0.405,0.0,0.0969,0.255,179.196,312027,1
18,IFHY,"TYLER, THE CREATOR",0.358,0.715,7,-6.181,1,0.331,0.197,0.0,0.581,0.275,85.478,319253,0
19,HDMI,BONES,0.713,0.29,7,-16.365,1,0.0647,0.686,0.807,0.318,0.121,124.941,139440,0
20,FROM TIME,DRAKE,0.739,0.491,1,-9.726,0,0.413,0.626,0.0,0.126,0.448,94.391,322160,1
21,G.O.M.D,J. COLE,0.889,0.4,4,-10.586,0,0.26,0.322,1.32e-05,0.331,0.336,128.073,301064,0
22,CUSTER,SLIPKNOT,0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066,254467,0
23,MAN OF THE YEAR,SCHOOLBOY Q,0.749,0.865,3,-5.228,1,0.0413,0.00536,0.0,0.198,0.371,111.914,216013,1
24,HOT N*GGA,BOBBY SHMURDA,0.794,0.51,9,-7.314,1,0.42,0.0505,1.81e-06,0.0562,0.18,167.879,194561,0
25,BLACK SKINHEAD,KANYE WEST,0.766,0.809,1,-6.123,1,0.279,0.0011,0.0,0.168,0.325,130.127,188013,1
26,III. URN,CHILDISH GAMBINO,0.59,0.446,0,-12.759,0,0.0731,0.621,0.00235,0.0731,0.399,140.081,73387,0
27,PSYCHO PASS,XAVIER WULF,0.973,0.446,3,-9.355,0,0.0612,0.0303,1.75e-05,0.121,0.265,115.039,135340,0
28,RECOGNIZE,PARTYNEXTDOOR,0.644,0.541,2,-5.801,1,0.0426,0.0102,0.0,0.102,0.165,119.513,311197,0
29,THE MONSTER,EMINEM,0.781,0.853,1,-3.68,0,0.0715,0.0525,0.0,0.12,0.624,110.049,250189,1
30,RAP GOD,EMINEM,0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14,363521,1
31,DIAMONDS,CHRIS TRAVIS,0.587,0.295,11,-14.542,1,0.0463,0.15,0.0,0.142,0.128,122.064,206125,0
32,SHOWER,BECKY G,0.699,0.529,2,-7.548,1,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167,1
33,APPARENTLY,J. COLE,0.802,0.544,5,-9.212,1,0.0686,0.605,0.0,0.102,0.57,133.992,292865,1
34,COCOA BUTTER KISSES,CHANCE THE RAPPER,0.679,0.645,6,-7.777,0,0.222,0.0518,0.0,0.145,0.203,125.795,307188,0
35,IV. SWEATPANTS,CHILDISH GAMBINO,0.712,0.463,1,-9.33,0,0.143,0.152,0.0,0.642,0.593,80.029,180675,1
36,RAMPARTRANGE,BONES,0.847,0.407,0,-9.236,0,0.332,0.00303,9.76e-05,0.109,0.476,170.109,98717,0
37,HER WAY - SPED UP,PARTYNEXTDOOR,0.459,0.521,1,-9.426,0,0.0342,0.0541,0.00396,0.104,0.122,132.163,182164,0
38,SOBER,CHILDISH GAMBINO,0.701,0.591,0,-6.646,1,0.0301,0.0979,2.53e-05,0.551,0.423,98.056,252013,0
39,STUDIO,SCHOOLBOY Q,0.709,0.589,8,-7.776,0,0.0433,0.0507,0.0,0.0585,0.58,133.922,278067,1
40,STARTED FROM THE BOTTOM,DRAKE,0.793,0.524,8,-7.827,1,0.156,0.0319,0.0,0.156,0.579,86.325,174133,1
41,0 TO 100 / THE CATCH UP,DRAKE,0.559,0.716,11,-3.964,0,0.39,0.737,0.0,0.252,0.504,176.618,275227,1
42,ALL ME,DRAKE,0.67,0.515,1,-6.977,1,0.397,0.0705,0.0,0.25,0.422,122.006,270867,1
43,THINKING WITH MY DICK,KEVIN GATES,0.77,0.699,0,-6.59,1,0.199,0.0596,1.65e-05,0.17,0.696,81.003,165315,0
44,JUST WHAT I AM,KID CUDI,0.654,0.95,1,-3.163,1,0.137,0.00223,0.0,0.406,0.351,140.009,228027,0
45,CROOKED SMILE,J. COLE,0.606,0.784,7,-6.293,1,0.268,0.435,0.0,0.689,0.48,80.985,278573,1
46,WORK REMIX,A$AP FERG,0.841,0.733,1,-5.077,1,0.142,0.0246,0.0,0.174,0.284,130.009,283693,0
47,WHO DO YOU LOVE?,YG,0.68,0.411,9,-9.761,1,0.434,0.0336,0.0,0.0889,0.161,193.131,233515,1
