,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,NO ROLE MODELZ,J. COLE,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799,1
1,STAR SHOPPING,LIL PEEP,0.538,0.471,4,-9.84,0,0.0955,0.0946,0.0185,0.116,0.307,93.07,142000,0
2,WET DREAMZ,J. COLE,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267,1
3,DON'T,BRYSON TILLER,0.765,0.356,11,-5.556,0,0.195,0.223,0.0,0.0963,0.189,96.991,198293,0
4,ALRIGHT,KENDRICK LAMAR,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,219333,1
5,KILL YOURSELF (PART III),$UICIDEBOY$,0.753,0.68,5,-7.092,0,0.0349,0.326,4.15e-05,0.423,0.192,105.977,145078,0
6,WEEKEND,MAC MILLER,0.843,0.435,8,-8.442,1,0.178,0.47,0.0,0.147,0.19,120.058,208080,0
7,NO FLOCKIN',KODAK BLACK,0.943,0.595,5,-8.372,0,0.191,0.0673,0.0,0.0839,0.815,117.532,165291,0
8,90210,TRAVIS SCOTT,0.402,0.526,9,-6.741,0,0.0904,0.113,8.33e-06,0.105,0.312,81.404,339067,0
9,EXCHANGE,BRYSON TILLER,0.525,0.433,6,-10.598,1,0.185,0.107,0.0,0.135,0.276,160.108,194613,0
10,PARIS,$UICIDEBOY$,0.849,0.648,7,-6.188,1,0.0835,0.0706,0.00636,0.0984,0.195,106.058,111020,0
11,HER WAY,PARTYNEXTDOOR,0.542,0.487,1,-9.53,1,0.0286,0.0544,0.000885,0.0872,0.119,111.307,216631,0
12,THIS COULD BE US,RAE SREMMURD,0.732,0.69,0,-4.992,0,0.134,0.291,0.0,0.116,0.758,143.072,206307,1
13,COLLARD GREENS,SCHOOLBOY Q,0.825,0.575,11,-4.87,1,0.0633,0.025,9.94e-06,0.205,0.65,153.954,299960,0
14,OR NAH,TY DOLLA $IGN,0.805,0.33,1,-8.712,0,0.1,0.22,0.0,0.105,0.211,121.97,242983,0
15,OUI,JEREMIH,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,238320,0
16,RUNNIN' THRU THE 7TH WITH MY WOADIES,$UICIDEBOY$,0.686,0.621,11,-7.243,1,0.187,0.0656,0.000221,0.139,0.187,112.082,205766,0
