,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
0,SEE YOU AGAIN,"TYLER, THE CREATOR",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,180387,0
1,ALL GIRLS ARE THE SAME,JUICE WRLD,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,1
2,FREESTYLE,LIL BABY,0.877,0.517,2,-5.426,0,0.0706,0.217,0.0,0.143,0.255,119.996,162053,0
3,20 MIN,LIL UZI VERT,0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,220587,0
4,REVENGE,XXXTENTACION,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,120027,0
5,PRIDE.,KENDRICK LAMAR,0.665,0.535,4,-7.056,0,0.0572,0.0786,1.68e-05,0.154,0.37,138.842,275253,1
6,LOVE. FEAT. ZACARI.,KENDRICK LAMAR,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,213400,0
7,HUMBLE.,KENDRICK LAMAR,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000,1
8,LUCID DREAMS,JUICE WRLD,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,1
9,DRIP TOO HARD (LIL BABY & GUNNA),LIL BABY,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,0
10,PASSIONFRUIT,DRAKE,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,0
11,PURE COCAINE,LIL BABY,0.964,0.487,10,-6.071,0,0.421,0.00127,6.57e-06,0.115,0.107,127.05,154024,1
12,RIC FLAIR DRIP,OFFSET,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,172800,1
13,YES INDEED,LIL BABY,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957,142273,1
14,XO TOUR LLIF3,LIL UZI VERT,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,182707,1
15,GOING BAD,MEEK MILL,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,180522,1
16,ALL THE STARS,KENDRICK LAMAR,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,232187,0
17,DROWNING,A BOOGIE WIT DA HOODIE,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014,209269,1
18,BALL W/O YOU,21 SAVAGE,0.892,0.633,8,-7.471,1,0.0902,0.0467,0.000189,0.139,0.459,137.994,195047,0
19,A LOT,21 SAVAGE,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,1
20,THE WAY LIFE GOES,LIL UZI VERT,0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008,221747,1
21,TEENAGE FEVER,DRAKE,0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,219692,0
22,ROCKSTAR,POST MALONE,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,1
23,LEAN WIT ME,JUICE WRLD,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,175755,1
24,VIOLENT CRIMES,KANYE WEST,0.669,0.419,1,-6.724,0,0.522,0.376,0.0,0.187,0.0397,109.813,215320,1
25,BROKEN CLOCKS,SZA,0.692,0.684,6,-7.364,1,0.155,0.131,0.0,0.156,0.406,112.912,231253,0
26,GOD'S PLAN,DRAKE,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,1
27,LOVE IS ONLY A FEELING,JOEY BADA$$,0.629,0.676,1,-7.088,0,0.191,0.53,0.000325,0.701,0.497,90.377,152041,0
28,TRUST,BRENT FAIYAZ,0.764,0.394,8,-8.559,1,0.152,0.231,9.37e-05,0.117,0.465,92.009,158421,0
29,10 FREAKY GIRLS,METRO BOOMIN,0.81,0.353,6,-9.931,0,0.31,0.588,0.0,0.102,0.0727,88.031,208293,1
30,MO BAMBA,SHECK WES,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,1
31,DNA.,KENDRICK LAMAR,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,185947,1
32,SUNFLOWER - SPIDER-MAN: INTO THE SPIDER-VERSE,POST MALONE,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,0
33,JOCELYN FLORES,XXXTENTACION,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,1
34,SPACE CADET,METRO BOOMIN,0.901,0.464,5,-9.789,0,0.0645,0.368,1.71e-05,0.238,0.638,109.004,203267,1
35,HOPE,XXXTENTACION,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886,0
36,FUCK LOVE,XXXTENTACION,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,0
37,EVERYBODY DIES IN THEIR NIGHTMARES,XXXTENTACION,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,1
38,ARMED AND DANGEROUS,JUICE WRLD,0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032,169999,1
39,SELF CARE,MAC MILLER,0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,345133,1
40,MAGNOLIA,PLAYBOI CARTI,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,181812,1
41,SHOOTA,PLAYBOI CARTI,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,153800,1
42,LOCATION,PLAYBOI CARTI,0.717,0.79,11,-4.213,1,0.2,0.33,0.000125,0.518,0.371,125.985,168784,0
43,LOOK BACK AT IT,A BOOGIE WIT DA HOODIE,0.791,0.587,3,-5.075,0,0.0413,0.407,0.0,0.148,0.536,96.057,179449,1
44,BETTER NOW,POST MALONE,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,231267,1
45,TAKING A WALK,TRIPPIE REDD,0.767,0.538,0,-6.044,0,0.052,0.68,0.0,0.192,0.343,81.031,121680,1
46,SICKO MODE,TRAVIS SCOTT,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,312820,1
47,SMALL WORLDS,MAC MILLER,0.516,0.546,5,-9.105,1,0.249,0.814,4.5e-06,0.0995,0.515,78.267,271733,0
48,1400 / 999 FREESTYLE,TRIPPIE REDD,0.825,0.572,6,-6.067,0,0.0864,0.0079,0.0,0.113,0.568,141.991,175954,1
49,FOR THE LAST TIME,$UICIDEBOY$,0.844,0.533,1,-9.612,1,0.552,0.0735,3.46e-06,0.0953,0.23,140.078,156081,0
50,LET YOU DOWN,NF,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,212120,1
51,SAD!,XXXTENTACION,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,166606,1
52,LOVE GALORE,SZA,0.795,0.594,0,-6.2,1,0.0748,0.112,0.0,0.162,0.409,135.002,275080,0
