,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
9644,TIME OF YOUR LIFE,KID INK,0.61,0.854,0,-7.523,0,0.103,0.0116,0.00E+00,0.322,0.635,133.896,235397,0
9645,POETIC JUSTICE,KENDRICK LAMAR,0.784,0.561,6,-9.956,0,0.407,0.195,0.00E+00,0.195,0.632,136.023,300160,1
9646,SONGBIRD,AER,0.81,0.731,5,-5.735,0,0.101,0.0175,1.41E-04,0.0655,0.622,143.969,211753,0
9647,PUT YOUR HAMMER DOWN,WU-TANG CLAN,0.619,0.846,8,-5.787,1,0.272,0.0722,0.00E+00,0.153,0.961,97.479,123227,0
9648,ROCKY MOUNTAIN WAY,GODSMACK,0.443,0.82,7,-5.069,1,0.0553,0.000136,1.78E-03,0.211,0.618,139.147,242533,0
9649,GEES,MAC MILLER,0.622,0.661,1,-5.04,1,0.346,0.153,0.00E+00,0.634,0.596,188.255,175672,0
9650,REMEMBER,MAC MILLER,0.473,0.442,9,-10.807,1,0.112,0.0755,1.64E-05,0.119,0.0746,139.661,268366,0
9651,STRONGER THAN I WAS,EMINEM,0.781,0.602,1,-5.426,1,0.107,0.121,0.00E+00,0.148,0.324,121.998,336519,0
9652,HEY PORSCHE,NELLY,0.729,0.793,9,-4.716,1,0.0293,0.151,0.00E+00,0.651,0.945,115.988,209147,0
9653,WE OWN IT (FAST & FURIOUS),2 CHAINZ,0.554,0.899,8,-4.573,1,0.408,0.0521,0.00E+00,0.0568,0.552,171.966,227893,1
9654,END OF THE ROAD,MACHINE GUN KELLY,0.766,0.704,9,-6.162,0,0.166,0.174,0.00E+00,0.203,0.26,91.56,244267,0
9655,SLOW LOUD & BANGIN,CHAMILLIONAIRE,0.643,0.73,11,-7.437,0,0.313,0.127,0.00E+00,0.217,0.276,131.895,254653,0
9656,THE MONSTER,EMINEM,0.78,0.851,1,-3.815,0,0.0684,0.0401,0.00E+00,0.115,0.602,110.038,250189,1
9657,TRAUMATIZED,MEEK MILL,0.452,0.68,1,-5.99,0,0.349,0.164,0.00E+00,0.0796,0.316,75.684,250467,0
9658,BELLA,GIMS,0.781,0.944,9,-2.64,0,0.0615,0.0873,7.95E-02,0.117,0.965,103.003,226480,0
9659,UNDERSTAND ME,CHIEF KEEF,0.759,0.64,3,-6.448,0,0.129,0.0111,0.00E+00,0.132,0.355,137.947,244080,0
9660,NO LIE,2 CHAINZ,0.634,0.665,6,-5.984,0,0.176,0.0172,0.00E+00,0.365,0.611,131.108,237827,1
9661,PÓNMELA EN EL AIRE,CANSERBERO,0.552,0.749,2,-4.969,0,0.192,0.688,0.00E+00,0.32,0.761,98.9,181708,0
9662,LIGHT UP THE SKY,THOUSAND FOOT KRUTCH,0.439,0.949,6,-4.33,0,0.17,0.00061,5.14E-04,0.378,0.686,177.965,239627,0
9663,BIBLE ON THE DASH,GUNPLAY,0.707,0.614,9,-7.933,1,0.282,0.0997,0.00E+00,0.0912,0.563,139.97,151054,0
9664,CLARITY,MAC MILLER,0.584,0.429,1,-6.153,1,0.0552,0.645,1.54E-03,0.113,0.162,82.001,275071,0
9665,H20,CHRIS TRAVIS,0.737,0.562,3,-10.474,0,0.0769,0.633,1.03E-04,0.104,0.326,123.991,245178,0
9666,C.R.E.A.M.,WU-TANG CLAN,0.471,0.617,11,-7.345,0,0.381,0.48,2.49E-02,0.355,0.672,180.587,246733,0
9667,EYES TO THE SKY,JON BELLION,0.743,0.648,0,-5.116,1,0.296,0.317,0.00E+00,0.402,0.688,85.933,164707,0
9668,2012,CHRIS BROWN,0.592,0.415,7,-10.019,0,0.13,0.283,0.00E+00,0.0883,0.339,126.475,248693,0
9669,BALLIN',CHIEF KEEF,0.574,0.694,0,-6.5,1,0.0544,0.166,0.00E+00,0.375,0.156,133.982,218480,0
9670,F*CKWITHMEYOUKNOWIGOTIT,JAY-Z,0.611,0.464,10,-8.068,0,0.294,0.0171,2.14E-01,0.0794,0.274,127.766,243413,0
