,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
43,OVER FOR YOU,MORGAN EVANS,0.629,0.36,4,-8.969,1,0.025,0.423,0.000104,0.111,0.426,91.067,185681,0
44,"YOU, ME, AND WHISKEY",JUSTIN MOORE,0.555,0.88,0,-4.351,0,0.0535,0.0803,0,0.174,0.422,144.076,187941,0
45,UP THERE DOWN HERE,JAKE OWEN,0.517,0.901,4,-3.51,1,0.039,0.234,0,0.317,0.567,150.033,200400,0
46,FROM AUSTIN,ZACH BRYAN,0.5,0.485,0,-7.94,1,0.0422,0.633,1.26E-06,0.107,0.379,109.755,207453,1
47,WHAT HE DIDN'T DO,CARLY PEARCE,0.628,0.632,9,-5.932,1,0.0325,0.257,0,0.288,0.559,137.854,191227,1
48,WATER UNDER THE BRIDGE,SAM HUNT,0.635,0.866,5,-2.695,1,0.0473,0.0697,0,0.0955,0.853,133.889,169760,1
49,5 FOOT 9,TYLER HUBBARD,0.602,0.796,5,-5.609,1,0.0465,0.146,0,0.125,0.53,106.005,189780,1
50,THINGS A MAN OUGHTA KNOW,LAINEY WILSON,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93E-06,0.133,0.397,139.931,203373,1
51,SOMEBODY’S PROBLEM,MORGAN WALLEN,0.658,0.538,5,-7.676,1,0.0289,0.657,0,0.123,0.62,136.967,161773,0
52,WHAT MY WORLD SPINS AROUND,JORDAN DAVIS,0.675,0.726,2,-6.459,1,0.0461,0.105,0,0.153,0.671,124.872,186791,1
53,HEAVY EYES,ZACH BRYAN,0.471,0.912,5,-3.032,1,0.0724,0.032,0,0.343,0.613,139.667,190780,1
54,BROWN EYES BABY,KEITH URBAN,0.521,0.833,8,-6.992,1,0.0313,0.0906,3.13E-06,0.0647,0.581,141.944,224985,1
55,WE GOT HISTORY,MITCHELL TENPENNY,0.628,0.833,0,-6.327,1,0.0311,0.0014,0,0.104,0.309,98.025,203680,1
56,PLEASE DON'T GO,WYATT FLORES,0.683,0.554,6,-7.487,0,0.05,0.379,0.00011,0.0845,0.452,85.455,181499,0
57,OVER NOW,KAMERON MARLOWE,0.561,0.764,1,-4.313,1,0.0432,0.0813,0,0.108,0.356,117.058,221733,0
58,865,MORGAN WALLEN,0.532,0.584,8,-5.254,1,0.0248,0.723,0,0.101,0.367,88.003,190680,1
59,WHERE IT ENDS,BAILEY ZIMMERMAN,0.431,0.837,9,-5.067,1,0.0432,0.259,0,0.0879,0.648,170.041,179294,1
60,GOLD,DIERKS BENTLEY,0.674,0.873,1,-4.256,1,0.0285,0.0482,0,0.18,0.946,115.01,167760,1
61,I'LL BE LOVIN' YOU,MIRANDA LAMBERT,0.6,0.748,11,-5.565,1,0.0366,0.121,0.0552,0.0874,0.825,135.057,189173,0
62,HEART LIKE A TRUCK,LAINEY WILSON,0.587,0.632,9,-5.416,1,0.0311,0.148,1.01E-05,0.158,0.392,139.974,199040,1
63,MOTORCYCLE DRIVE BY,ZACH BRYAN,0.655,0.682,3,-4.562,1,0.0464,0.0392,0,0.67,0.525,124.306,161799,0
64,GOD GAVE ME A GIRL,RUSSELL DICKERSON,0.518,0.845,7,-5.051,1,0.0647,0.249,0,0.0764,0.37,142.133,187227,0
65,DANGEROUS,MORGAN WALLEN,0.635,0.772,7,-4.825,1,0.0279,0.216,0,0.285,0.948,119.017,147893,1
66,FEEL LIKE THIS,INGRID ANDRESS,0.536,0.605,7,-5.292,1,0.0338,0.141,0,0.0614,0.341,130.053,196163,0
67,Y'ALL LIFE,WALKER HAYES,0.607,0.757,2,-6.778,1,0.0601,0.0107,0,0.158,0.662,164.096,192053,1
68,LAST NIGHT LONELY,JON PARDI,0.652,0.813,6,-2.842,1,0.0268,0.00544,0,0.101,0.851,102.987,182161,1
69,WARNING,MORGAN WALLEN,0.633,0.664,10,-5.037,1,0.0294,0.46,0,0.108,0.268,115.058,156747,1
70,23,CHAYCE BECKHAM,0.626,0.583,0,-7.346,0,0.0318,0.276,0,0.141,0.428,87.977,228145,1
71,WAY OF THE TRIUNE GOD - HALLELUJAH VERSION,TYLER CHILDERS,0.696,0.583,10,-6.384,1,0.0307,0.629,0,0.123,0.543,79.057,208813,0
72,FIFTH OF MAY,ZACH BRYAN,0.596,0.544,4,-7.039,1,0.0341,0.391,3.06E-06,0.129,0.707,136.728,178151,1
73,LOVE YOU A LITTLE BIT,TANNER ADELL,0.61,0.868,1,-4.098,0,0.0351,0.0401,0,0.121,0.765,137.943,210813,0
74,TAKE MY NAME,PARMALEE,0.559,0.66,7,-4.143,1,0.0512,0.222,0,0.193,0.574,163.957,157907,1
75,ALL THE TIME,ZACH BRYAN,0.422,0.439,4,-6.606,0,0.0311,0.272,0,0.124,0.277,151.785,199500,0
76,IF I DIDN'T LOVE YOU,JASON ALDEAN,0.456,0.679,1,-4.802,1,0.0324,0.176,0,0.103,0.483,184.075,212030,1
77,HURT NO MORE,CHASE WRIGHT,0.45,0.855,6,-3.475,1,0.0379,0.182,0,0.135,0.552,180,176781,0
78,WRECKAGE,NATE SMITH,0.563,0.575,10,-5.072,1,0.0266,0.0452,0,0.101,0.162,145.103,212747,1
79,FLOWER SHOPS,ERNEST,0.527,0.461,7,-5.908,1,0.0269,0.118,0,0.0831,0.227,128.153,214405,1
80,MEMORY TO DROWN,BRYAN MARTIN,0.662,0.781,6,-3.294,1,0.0245,0.0957,8.00E-05,0.123,0.641,126.028,215048,0
81,DANCIN’ IN THE COUNTRY,TYLER HUBBARD,0.655,0.869,7,-4.807,1,0.0633,0.00408,0,0.104,0.541,114.984,179645,0
82,QUITTIN' TIME,ZACH BRYAN,0.557,0.725,0,-5.79,0,0.0388,0.215,9.21E-06,0.217,0.54,143.34,220885,1
83,BEERS ON ME,DIERKS BENTLEY,0.59,0.846,4,-4.251,1,0.0396,0.182,0,0.53,0.733,146.028,174681,1
84,COUNTY LINE,CHASE MATTHEW,0.536,0.772,3,-6.027,0,0.0339,0.206,0,0.163,0.423,134.019,208209,1
85,UP DOWN,FLORIDA GEORGIA LINE,0.588,0.885,6,-3.046,1,0.0345,0.0788,0,0.175,0.787,129.925,198120,0
86,GET TO GETTIN’ GONE,BAILEY ZIMMERMAN,0.59,0.685,6,-6.689,1,0.0308,0.247,0,0.0659,0.538,146.098,182466,0
87,WATERMELON MOONSHINE,LAINEY WILSON,0.739,0.413,1,-6.709,1,0.0282,0.47,2.51E-05,0.131,0.649,139.921,208853,0
88,23,SAM HUNT,0.641,0.78,3,-5.138,1,0.0852,0.0206,0,0.143,0.693,98.004,179720,1
89,RUNNING BACK,ASHLEY COOKE,0.339,0.466,5,-7.252,1,0.0442,0.199,0,0.0836,0.256,75.539,187018,0
90,YOU'RE A FUCKING BITCH HOPE YOU KNOW THAT SHIT,ATLUS,0.79,0.66,1,-5.677,0,0.248,0.399,0,0.104,0.652,143.904,163156,0
91,A SPECIAL PLACE,DANIELLE BRADBERY,0.485,0.645,0,-4.367,1,0.0274,0.00478,0,0.24,0.705,82.93,174193,0
92,YOU DIDN’T,BRETT YOUNG,0.623,0.466,11,-7.6,1,0.0265,0.0421,1.45E-06,0.0996,0.272,81.98,225813,0
93,SHE LIKES IT,RUSSELL DICKERSON,0.79,0.325,4,-11.689,1,0.127,0.509,0,0.155,0.539,126.877,163311,1
94,HELL OF A VIEW,ERIC CHURCH,0.689,0.592,5,-6.758,1,0.0235,0.101,0.00867,0.11,0.919,98.997,175027,1
95,DIRTY LOOKS,LAINEY WILSON,0.562,0.64,2,-5.047,1,0.0254,0.242,0,0.111,0.654,139.931,194667,0
96,BANDAID ON A BULLET HOLE,MORGAN WALLEN,0.543,0.48,2,-6.745,1,0.0301,0.794,0,0.119,0.391,154.78,234333,1
97,WE RIDE,BRYAN MARTIN,0.62,0.719,3,-4.177,1,0.0257,0.0736,8.84E-06,0.185,0.559,81.991,188483,0
98,WHAT’S YOUR COUNTRY SONG,THOMAS RHETT,0.359,0.706,5,-6.151,1,0.0309,0.000602,0,0.285,0.479,174.079,171333,0
99,PRETTY HEART,PARKER MCCOLLUM,0.568,0.707,7,-4.445,1,0.03,0.00569,0,0.103,0.369,131.944,245307,1
100,SOMETHIN' BOUT YOU,MICKEY GUYTON,0.667,0.826,4,-3.412,1,0.0266,0.0979,0,0.151,0.665,112.041,156906,0
101,MEMORY,KANE BROWN,0.434,0.889,9,-5.684,1,0.0509,0.395,0,0.273,0.845,113.326,153338,0
102,STILL GOIN DOWN,MORGAN WALLEN,0.58,0.752,7,-5.078,1,0.0267,0.49,0,0.277,0.72,148.108,186293,1
103,NOTE TO SELF,RANDY HOUSER,0.613,0.626,1,-6.486,1,0.0332,0.11,0.000914,0.112,0.188,84.984,195217,0
104,THAT'S WHAT TEQUILA DOES,JASON ALDEAN,0.522,0.801,5,-5.424,1,0.1,0.224,0,0.301,0.491,155.928,189307,1
105,TENNESSEE FAN,MORGAN WALLEN,0.482,0.847,6,-4.741,1,0.0317,0.081,0,0.0832,0.592,76.01,198255,1
106,JUST THE WAY,PARMALEE,0.544,0.829,9,-2.84,1,0.0404,0.107,0,0.317,0.815,90.048,193880,0
107,TISHOMINGO,ZACH BRYAN,0.56,0.576,6,-6.92,1,0.03,0.309,2.08E-05,0.0988,0.478,133.491,188883,0
108,ONLY THING THAT’S GONE,MORGAN WALLEN,0.5,0.803,2,-4.591,1,0.032,0.11,2.12E-05,0.296,0.451,150.058,196707,0
109,ME ON WHISKEY,MORGAN WALLEN,0.57,0.657,11,-4.571,1,0.0262,0.431,0,0.0777,0.721,142.031,210373,1
110,NEVER COMIN' HOME,BAILEY ZIMMERMAN,0.556,0.59,10,-6.846,1,0.029,0.25,0,0.109,0.573,143.972,194271,0
111,GOOD TIMES GO BY TOO FAST,DYLAN SCOTT,0.66,0.706,5,-5.219,1,0.0291,0.092,0,0.129,0.453,114.991,169573,0
112,HALF OF ME,THOMAS RHETT,0.575,0.842,7,-5.058,1,0.0348,0.00683,0,0.279,0.665,111.995,183027,1
113,MINE AGAIN,ZACH BRYAN,0.494,0.653,7,-6.493,1,0.0632,0.0441,1.42E-05,0.0898,0.336,153.97,224188,1
114,LOVE YOU AGAIN,CHASE MATTHEW,0.564,0.823,10,-5.319,0,0.0297,0.214,0,0.432,0.472,132.113,173636,1
115,DON'T THINK JESUS,MORGAN WALLEN,0.578,0.431,2,-7.034,1,0.0269,0.469,0,0.137,0.21,116.979,226975,1
116,US THEN,ZACH BRYAN,0.587,0.683,0,-4.622,1,0.0371,0.0664,1.01E-05,0.211,0.763,127.749,166342,0
117,GIRL ON FIRE,KAMERON MARLOWE,0.535,0.749,2,-5.792,1,0.0679,0.348,0,0.174,0.397,163.927,173707,1
118,SOMETHING IN THE ORANGE - Z&E'S VERSION,ZACH BRYAN,0.594,0.382,7,-5.432,1,0.0292,0.416,0,0.117,0.223,110.237,254258,0
119,NO HARD FEELINGS,OLD DOMINION,0.636,0.866,4,-5.796,1,0.0553,0.243,5.42E-06,0.371,0.963,85.004,191360,1
120,SILVERADO FOR SALE,MORGAN WALLEN,0.591,0.778,0,-5.927,1,0.0292,0.165,0,0.115,0.386,137.956,224920,1
121,HATE MY HEART,CARRIE UNDERWOOD,0.524,0.923,7,-3.53,1,0.085,0.00958,0,0.102,0.318,149.972,183573,0
122,EVERYTHING SHE AIN’T,HAILEY WHITTERS,0.796,0.621,2,-6.129,1,0.0346,0.175,0,0.274,0.808,121.904,151973,0
123,HELL OF A WAY TO GO,RILEY GREEN,0.481,0.74,6,-4.672,1,0.0277,0.0262,0,0.157,0.669,150.053,166134,1
124,PORCH LIGHT,JOSH MELOY,0.647,0.477,6,-8.264,1,0.0356,0.0585,0,0.159,0.477,142.034,184949,0
125,AMEN TO THAT,DYLAN SCOTT,0.569,0.862,6,-5.182,1,0.0457,0.0468,0,0.146,0.552,107.991,172973,0
126,HEARTLESS - WALLEN ALBUM MIX,MORGAN WALLEN,0.61,0.641,11,-4.423,1,0.0289,0.662,0,0.17,0.494,111.001,169613,0
127,TIL YOU CAN'T,CODY JOHNSON,0.505,0.814,1,-4.905,1,0.0439,0.0566,0,0.106,0.503,160.085,224773,1
128,SUMMERTIME BLUES,ZACH BRYAN,0.552,0.411,1,-7.946,1,0.0434,0.794,3.50E-06,0.248,0.501,78.095,181239,1
129,CHASING AFTER YOU,RYAN HURD,0.601,0.675,4,-6.358,1,0.0399,0.698,0,0.125,0.446,131.933,207667,0
130,NEON EYES,MORGAN WALLEN,0.576,0.843,11,-5.26,0,0.029,0.0214,8.04E-05,0.157,0.628,126.009,226147,1
131,YOUR BARTENDER,MORGAN WALLEN,0.555,0.771,4,-5.237,1,0.0282,0.247,7.26E-05,0.149,0.442,139.971,185093,1
132,SHE LIKES IT,RUSSELL DICKERSON,0.79,0.325,4,-11.689,1,0.127,0.509,0,0.155,0.539,126.877,163311,1
133,FAMOUS FRIENDS,CHRIS YOUNG,0.535,0.859,6,-2.922,1,0.0344,0.0528,0,0.32,0.698,102.008,166507,0
134,THE GREATEST DAY OF MY LIFE,ZACH BRYAN,0.535,0.314,3,-10.563,1,0.0491,0.839,7.33E-05,0.104,0.301,150.065,238624,1
135,EVERYTHING SHE AIN’T,HAILEY WHITTERS,0.796,0.621,2,-6.129,1,0.0346,0.175,0,0.274,0.808,121.904,151973,0
136,YOU,DAN + SHAY,0.544,0.572,0,-6.205,1,0.0319,0.118,0,0.234,0.52,169.885,196253,1
137,CHASING AFTER YOU,RYAN HURD,0.596,0.679,4,-6.395,1,0.0394,0.723,0,0.116,0.479,131.912,207974,0
138,HOUSE ON FIRE,BAILEY ZIMMERMAN,0.584,0.5,0,-8.167,1,0.0315,0.57,0,0.079,0.426,124.996,220800,0
139,WILDER DAYS,MORGAN WADE,0.502,0.662,9,-4.041,1,0.0293,0.00322,0.00274,0.119,0.4,110.917,251293,1
140,DOIN' THIS,LUKE COMBS,0.588,0.55,1,-5.878,1,0.0269,0.166,8.67E-06,0.11,0.39,115.01,254173,1
141,OUTRUNNIN' YOUR MEMORY,LUKE COMBS,0.601,0.836,1,-3.42,0,0.0342,0.0974,0,0.106,0.338,127.934,254747,1
142,NO BODY,BLAKE SHELTON,0.739,0.72,4,-6.695,1,0.026,0.0379,0.00267,0.23,0.892,102.997,187640,1
143,DOIN' THIS,LUKE COMBS,0.593,0.552,1,-5.838,1,0.028,0.18,1.71E-05,0.11,0.39,115,254181,1
144,I QUIT DRINKING,KELSEA BALLERINI,0.607,0.418,1,-6.997,1,0.0363,0.394,0,0.182,0.386,95.002,171200,1
145,LIKE I LOVE COUNTRY MUSIC,KANE BROWN,0.542,0.82,8,-6.073,1,0.0432,0.000682,0.000136,0.0561,0.702,124.85,234341,1
146,LONG LIVE COWGIRLS,IAN MUNSICK,0.233,0.432,10,-5.957,1,0.0321,0.291,0,0.279,0.286,195.663,184747,0
147,TROUBLE WITH A HEARTBREAK,JASON ALDEAN,0.582,0.797,5,-4.926,1,0.0334,0.23,0,0.132,0.595,135.973,196027,1
148,WHERE I FIND GOD,LARRY FLEET,0.587,0.523,11,-6.2,1,0.0272,0.497,0.0055,0.102,0.182,137.94,249613,0
149,WITH A WOMAN YOU LOVE,JUSTIN MOORE,0.611,0.756,7,-4.483,1,0.0288,0.0587,0,0.378,0.596,106.012,167376,1
150,WE DIDN'T HAVE MUCH,JUSTIN MOORE,0.469,0.673,6,-8.015,1,0.0337,0.418,1.41E-05,0.119,0.578,175.954,174838,1
151,WONDERIN’ BOUT THE WIND,MORGAN WALLEN,0.481,0.715,6,-5.626,1,0.0334,0.244,0,0.133,0.395,90.966,182227,0
152,DAMN YOU,ELLA LANGLEY,0.58,0.881,4,-3.004,1,0.042,0.0508,0,0.106,0.384,76.989,183413,0
153,WATERMELON MOONSHINE,LAINEY WILSON,0.739,0.413,1,-6.709,1,0.0282,0.47,2.51E-05,0.131,0.649,139.921,208853,0
154,CABO,KOE WETZEL,0.64,0.601,4,-7.172,0,0.0372,0.0172,0,0.356,0.205,126.951,243797,1
155,DAYS THAT END IN WHY,MORGAN WALLEN,0.451,0.618,6,-5.677,1,0.0263,0.213,3.22E-05,0.165,0.457,159.856,162475,1
156,EVERYONE'S AN OUTLAW,BRYAN MARTIN,0.506,0.874,1,-3.832,1,0.0457,0.0175,0,0.127,0.684,166.178,200978,0
157,BLUE,ZACH BRYAN,0.597,0.469,2,-6.838,1,0.0276,0.408,0.000277,0.135,0.409,139.422,218680,0
158,68 FASTBACK,ZACH BRYAN,0.366,0.276,7,-7.201,1,0.0312,0.749,2.91E-06,0.274,0.298,162.051,193127,0
159,MORE SURPRISED THAN ME,MORGAN WALLEN,0.516,0.748,6,-6.049,1,0.0289,0.241,0,0.123,0.433,85.004,157440,1
160,THIS SIDE OF A DUST CLOUD,MORGAN WALLEN,0.645,0.734,4,-5.892,1,0.0266,0.139,0.000833,0.159,0.797,133.989,199947,0
161,DANCIN' IN THE MOONLIGHT,CHRIS LANE,0.589,0.829,8,-4.861,0,0.0332,0.0196,0,0.128,0.563,121.998,199000,0
162,IF I WERE THE DEVIL,COLBY ACUFF,0.497,0.388,1,-9.928,0,0.0525,0.639,1.99E-05,0.0666,0.635,171.976,242442,0
163,LIVIN’ THE DREAM,MORGAN WALLEN,0.621,0.753,7,-5.904,0,0.0271,0.581,0.00605,0.215,0.438,127.035,239120,0
164,SON OF THE DIRTY SOUTH,BRANTLEY GILBERT,0.579,0.874,11,-3.511,1,0.0686,0.0269,0,0.393,0.379,138.972,179253,1
165,START NOWHERE,SAM HUNT,0.421,0.644,7,-3.904,1,0.0273,0.192,0,0.15,0.372,82.962,193400,0
166,NO CURE,ZACH BRYAN,0.524,0.736,0,-3.683,1,0.0493,0.0393,1.81E-06,0.202,0.375,122.215,161769,0
167,ALMOST MAYBES,JORDAN DAVIS,0.476,0.864,11,-4.025,1,0.0946,0.156,0,0.0982,0.53,180.316,179187,1
168,WHEN IM GONE,LECADE,0.446,0.392,8,-11.388,0,0.283,0.643,0,0.111,0.502,179.137,130685,0
169,DRINK HAD ME,JORDAN DAVIS,0.699,0.642,11,-5.246,1,0.0319,0.376,0,0.0848,0.796,94.974,156200,0
170,SAM,STURGILL SIMPSON,0.713,0.185,0,-11.256,1,0.0974,0.97,0,0.166,0.645,100.997,72976,0
171,YOU IN A HONKY TONK,RANDALL KING,0.626,0.705,9,-5.911,1,0.0256,0.121,1.67E-05,0.341,0.62,103.936,183570,0
172,LATE JULY,ZACH BRYAN,0.532,0.354,2,-8.938,1,0.0504,0.736,0,0.11,0.419,151.266,178020,1
173,LONG LIVE,FLORIDA GEORGIA LINE,0.611,0.846,7,-3.548,1,0.0374,0.178,0,0.12,0.544,129.961,153253,1
174,IF I WAS A COWBOY,MIRANDA LAMBERT,0.575,0.644,6,-5.68,0,0.0309,0.271,0,0.131,0.626,80.07,195013,1
175,LADY,BRETT YOUNG,0.403,0.516,7,-7.983,1,0.0343,0.449,1.26E-05,0.0937,0.428,170.015,194293,1
176,POEMS AND CLOSING TIME,ZACH BRYAN,0.65,0.585,2,-6.225,1,0.0391,0.233,0,0.11,0.58,127.84,161201,0
177,LOVE AIN'T,ELI YOUNG BAND,0.597,0.856,11,-4.669,1,0.0421,0.00715,7.61E-06,0.0982,0.719,98.023,187093,0
178,AIN'T MISSIN' YOU,DYLAN SCHNEIDER,0.592,0.796,6,-5.59,1,0.0284,0.0769,0,0.103,0.512,132.029,176372,0
179,KEEPING ME UP ALL NIGHT,CHAYCE BECKHAM,0.506,0.909,9,-4.428,1,0.0469,0.0231,0,0.0892,0.389,129.969,209467,0
180,GREW APART,LOGAN MIZE,0.624,0.64,7,-7.735,1,0.0806,0.0529,2.80E-05,0.119,0.592,88.942,169976,0
181,STARVED,ZACH BRYAN,0.332,0.382,2,-8.963,1,0.0366,0.267,0.0268,0.094,0.113,161.083,282816,1
182,OH NO!,ATLUS,0.776,0.519,9,-5.434,1,0.0421,0.64,0,0.11,0.854,142.108,168847,0
183,COLD BEER CALLING MY NAME,JAMESON RODGERS,0.585,0.863,7,-4.061,1,0.0401,0.0446,0,0.0937,0.788,147.931,210560,1
184,LAST NIGHT LONELY,JON PARDI,0.646,0.816,6,-2.65,1,0.0269,0.00496,0,0.179,0.865,102.972,181991,1
185,SHE'S ALRIGHT,ZACH BRYAN,0.406,0.439,4,-8.129,1,0.0494,0.665,2.46E-06,0.69,0.19,148.181,229062,0
186,TWENTY SO,ZACH BRYAN,0.494,0.205,8,-9.759,1,0.0394,0.677,0,0.125,0.232,131.292,199317,0
187,COUNTRY A$$ SHIT,MORGAN WALLEN,0.619,0.927,10,-3.765,1,0.0346,0.0192,0,0.138,0.928,137.975,186187,1
188,TO BE LOVED BY YOU,PARKER MCCOLLUM,0.475,0.805,10,-4.456,1,0.0377,0.000453,0,0.143,0.488,145.976,199680,1
189,GIRLS LIKE YOU,SPENCER CRANDALL,0.581,0.653,7,-4.064,1,0.0349,0.226,0,0.0939,0.188,94.059,181484,0
190,MORE THAN THE SHINE,BRYAN MARTIN,0.55,0.91,1,-4.24,1,0.116,0.0364,0.00593,0.104,0.639,159.952,176274,0
191,HIGHWAY BOYS,ZACH BRYAN,0.484,0.362,0,-8.989,1,0.05,0.125,1.39E-05,0.103,0.299,153.911,220035,1
192,ONE MISSISSIPPI,KANE BROWN,0.471,0.846,0,-5.269,1,0.0389,0.00279,2.86E-06,0.145,0.539,100.089,213719,1
